Date,Open,High,Low,Close,Volume,FII_Buy,FII_Sell,DII_Buy,DII_Sell,FII_Net,DII_Net,Daily_Return,FII_Net_MA5,FII_Net_MA10,FII_Net_MA20,DII_Net_MA5,DII_Net_MA10,DII_Net_MA20,Volatility,Momentum,FII_Net_Lag1,FII_Net_Lag2,FII_Net_Lag3,DII_Net_Lag1,DII_Net_Lag2,DII_Net_Lag3,Daily_Return_Lag1,Daily_Return_Lag2,Daily_Return_Lag3,Target
2021-04-20,14526.7001953125,14526.9501953125,14207.2998046875,14296.400390625,467400,2321.98,1609.52,1380.47,1511.9,712.46,-131.43000000000006,-0.4390823034999069,504.8880000000001,421.83900000000006,435.55272727272734,-307.914,-167.843,-194.9781818181818,1.4383074933261242,-341.3994140625,1109.7400000000002,549.22,39.17000000000007,-394.1299999999999,227.12000000000012,-863.3600000000001,-1.7676978554819602,0.24962821650072448,0.528448456077477,1.0
2021-04-22,14219.150390625,14424.75,14151.400390625,14406.150390625,524600,1480.99,1465.92,1340.81,1872.14,15.069999999999936,-531.3300000000002,0.7676757575422244,485.13199999999995,392.73400000000004,400.51250000000005,-338.62600000000003,-219.74899999999997,-223.00750000000002,1.3970208925978254,-277.349609375,712.46,1109.7400000000002,549.22,-131.43000000000006,-394.1299999999999,227.12000000000012,-0.4390823034999069,-1.7676978554819602,0.24962821650072448,0.0
2021-04-23,14326.349609375,14461.150390625,14273.2998046875,14341.349609375,498100,1985.47,1036.18,1538.73,1572.31,949.29,-33.57999999999993,-0.4498133053794162,667.156,503.47800000000007,442.72615384615386,-172.67,-216.01399999999995,-208.43615384615384,1.335085855501214,-477.7001953125,15.069999999999936,712.46,1109.7400000000002,-531.3300000000002,-131.43000000000006,-394.1299999999999,0.7676757575422244,-0.4390823034999069,-1.7676978554819602,1.0
2021-04-26,14449.4501953125,14557.5,14421.2998046875,14485.0,452700,1718.35,1795.76,1779.1,1855.82,-77.41000000000008,-76.72000000000003,1.0016518287169789,541.83,403.50600000000003,405.5735714285715,-233.43800000000002,-184.783,-199.02785714285713,1.3183661908590996,-388.7998046875,949.29,15.069999999999936,712.46,-33.57999999999993,-531.3300000000002,-131.43000000000006,-0.4498133053794162,0.7676757575422244,-0.4390823034999069,1.0
2021-04-27,14493.7998046875,14667.5498046875,14484.849609375,14653.0498046875,451800,1571.15,1674.54,1667.03,1953.8,-103.38999999999987,-286.77,1.1601643402657922,299.204,406.264,371.6426666666667,-211.96600000000004,-210.669,-204.87733333333333,1.3087904962505976,-181.7998046875,-77.41000000000008,949.29,15.069999999999936,-76.72000000000003,-33.57999999999993,-531.3300000000002,1.0016518287169789,-0.4498133053794162,0.7676757575422244,1.0
2021-04-28,14710.5,14890.25,14694.9501953125,14864.5498046875,457000,1680.2,1683.09,1255.15,1376.05,-2.8899999999998727,-120.89999999999986,1.4433855260107102,156.13400000000001,330.5110000000001,348.23437500000006,-209.85999999999999,-258.887,-199.62874999999997,1.3139651534799675,553.75,-103.38999999999987,-77.41000000000008,949.29,-286.77,-76.72000000000003,-33.57999999999993,1.1601643402657922,1.0016518287169789,-0.4498133053794162,1.0
2021-04-29,14979.0,15044.349609375,14814.4501953125,14894.900390625,517500,2246.75,2276.3,1407.0,1814.49,-29.550000000000182,-407.49,0.20418099664161385,147.20999999999998,316.171,326.0117647058824,-185.09199999999996,-261.859,-211.85588235294117,1.2696260903202141,390.1005859375,-2.8899999999998727,-103.38999999999987,-77.41000000000008,-120.89999999999986,-286.77,-76.72000000000003,1.4433855260107102,1.1601643402657922,1.0016518287169789,0.0
2021-04-30,14747.349609375,14855.4501953125,14601.7001953125,14631.099609375,613900,2213.51,1710.19,1572.55,2089.05,503.32000000000016,-516.5000000000002,-1.771081204517748,58.016000000000034,362.58600000000007,335.8622222222223,-281.67600000000004,-227.173,-228.78055555555557,1.311791533984468,49.6494140625,-29.550000000000182,-2.8899999999998727,-103.38999999999987,-407.49,-120.89999999999986,-286.77,0.20418099664161385,1.4433855260107102,1.1601643402657922,1.0
2021-05-03,14481.0498046875,14673.849609375,14416.25,14634.150390625,448900,2049.15,2364.36,834.02,1976.92,-315.21000000000004,-1142.9,0.020851346320171223,10.45600000000004,276.14300000000003,301.59526315789475,-494.9120000000001,-364.17500000000007,-276.8921052631579,1.2726298639973355,16.30078125,503.32000000000016,-29.550000000000182,-2.8899999999998727,-516.5000000000002,-407.49,-120.89999999999986,-1.771081204517748,0.20418099664161385,1.4433855260107102,0.0
2021-05-04,14687.25,14723.400390625,14461.5,14496.5,503400,2044.72,1862.21,1327.26,1153.4,182.51,173.8599999999999,-0.9406107423440329,67.63600000000001,183.42000000000002,295.641,-402.78600000000006,-307.37600000000003,-254.3545,1.2557094949220429,137.0498046875,-315.21000000000004,503.32000000000016,-29.550000000000182,-1142.9,-516.5000000000002,-407.49,0.020851346320171223,-1.771081204517748,0.20418099664161385,1.0
2021-05-05,14604.150390625,14637.900390625,14506.599609375,14617.849609375,455900,1927.01,1948.38,1833.49,1323.72,-21.37000000000012,509.77,0.8370959153933708,63.93999999999996,110.03699999999999,265.938,-276.6520000000001,-243.25600000000003,-205.5495,1.2379774109629362,321.44921875,182.51,-315.21000000000004,503.32000000000016,173.8599999999999,-1142.9,-516.5000000000002,-0.9406107423440329,0.020851346320171223,-1.771081204517748,1.0
2021-05-06,14668.349609375,14743.900390625,14611.5,14724.7998046875,467800,1643.66,1650.24,1838.04,1611.62,-6.579999999999927,226.42000000000007,0.7316410974970535,68.53400000000002,107.872,250.30300000000003,-149.87000000000006,-167.48100000000002,-193.61499999999998,1.2470544242215214,318.6494140625,-21.37000000000012,182.51,-315.21000000000004,509.77,173.8599999999999,-1142.9,0.8370959153933708,-0.9406107423440329,0.020851346320171223,1.0
2021-05-07,14816.849609375,14863.0498046875,14765.5,14823.150390625,488000,1675.27,1944.88,1624.79,1876.95,-269.6100000000001,-252.16000000000008,0.6679247748155531,-86.05200000000005,-14.018000000000006,244.73000000000002,-97.00200000000004,-189.33900000000003,-202.67649999999998,1.2386198308636984,481.80078125,-6.579999999999927,-21.37000000000012,182.51,226.42000000000007,509.77,173.8599999999999,0.7316410974970535,0.8370959153933708,-0.9406107423440329,1.0
2021-05-10,14928.25,14966.900390625,14892.5,14942.349609375,522000,1613.35,1714.54,1431.98,1276.0,-101.19000000000005,155.98000000000002,0.8041422748121637,-43.24800000000005,-16.396000000000004,193.555,162.77399999999997,-166.06900000000002,-175.42600000000002,1.249052147320352,457.349609375,-269.6100000000001,-6.579999999999927,-21.37000000000012,-252.16000000000008,226.42000000000007,509.77,0.6679247748155531,0.7316410974970535,0.8370959153933708,0.0
2021-05-11,14789.7001953125,14900.0,14771.400390625,14850.75,647400,2004.08,1876.9,1482.87,1435.06,127.17999999999984,47.809999999999945,-0.6130201191218907,-54.31400000000008,6.660999999999968,206.4625,137.564,-132.61100000000005,-171.64000000000001,1.255827579919241,197.7001953125,-101.19000000000005,-269.6100000000001,-6.579999999999927,155.98000000000002,-252.16000000000008,226.42000000000007,0.8041422748121637,0.6679247748155531,0.7316410974970535,0.0
2021-05-12,14823.5498046875,14824.0498046875,14649.7001953125,14696.5,643800,1399.5,1670.61,1408.17,1322.39,-271.1099999999999,85.77999999999997,-1.038668080736663,-104.26200000000003,-20.161000000000037,155.175,52.765999999999984,-111.94300000000005,-185.41500000000002,0.9784348686122516,-168.0498046875,127.17999999999984,-101.19000000000005,-269.6100000000001,47.809999999999945,155.98000000000002,-252.16000000000008,-0.6130201191218907,0.8041422748121637,0.6679247748155531,0.0
2021-05-14,14749.400390625,14749.650390625,14591.900390625,14677.7998046875,620700,1751.22,1914.72,1967.98,1565.17,-163.5,402.80999999999995,-0.12724250884564353,-135.64600000000004,-33.55600000000002,141.3075,88.04399999999995,-30.913000000000057,-146.38600000000002,0.9365685325523927,-217.1005859375,-271.1099999999999,127.17999999999984,-101.19000000000005,85.77999999999997,47.809999999999945,155.98000000000002,-1.038668080736663,-0.6130201191218907,0.8041422748121637,1.0
2021-05-17,14756.25,14938.0,14725.349609375,14923.150390625,546400,2045.24,1795.74,1131.45,1587.74,249.5,-456.28999999999996,1.6715760481972568,-31.824000000000023,-58.93800000000003,151.824,47.21799999999998,-24.89200000000003,-126.03250000000003,0.9992232465600492,292.05078125,-163.5,-271.1099999999999,127.17999999999984,402.80999999999995,85.77999999999997,47.809999999999945,-0.12724250884564353,-1.038668080736663,-0.6130201191218907,1.0
2021-05-18,15067.2001953125,15137.25,15043.7001953125,15108.099609375,583900,2047.54,2722.02,1335.04,1684.92,-674.48,-349.8800000000001,1.239344333527514,-146.48200000000003,-94.86500000000004,90.63900000000001,-53.95400000000004,54.40999999999997,-154.88250000000002,1.029981835763145,473.94921875,249.5,-163.5,-271.1099999999999,-456.28999999999996,402.80999999999995,85.77999999999997,1.6715760481972568,-0.12724250884564353,-1.038668080736663,0.0
2021-05-19,15058.599609375,15133.400390625,15008.849609375,15030.150390625,569100,1996.07,1638.1,1752.13,1834.28,357.97,-82.14999999999986,-0.5159432408138898,-100.32399999999998,-77.31900000000003,53.050499999999985,-79.946,28.80899999999999,-139.2835,0.9401452026286204,533.650390625,-674.48,249.5,-163.5,-349.8800000000001,-456.28999999999996,402.80999999999995,1.239344333527514,1.6715760481972568,-0.12724250884564353,0.0
2021-05-20,15042.599609375,15069.7998046875,14884.900390625,14906.0498046875,480300,2325.27,1412.88,1946.47,1274.99,912.3899999999999,671.48,-0.8256776060930653,136.37599999999998,16.05699999999997,63.04699999999998,37.194,44.98,-99.13800000000002,0.9584799537673888,288.2001953125,357.97,-674.48,249.5,-82.14999999999986,-349.8800000000001,-456.28999999999996,-0.5159432408138898,1.239344333527514,1.6715760481972568,1.0
2021-05-21,14987.7998046875,15190.0,14985.849609375,15175.2998046875,572900,2356.71,2500.48,1368.24,1350.0,-143.76999999999998,18.24000000000001,1.806313567497467,140.32199999999997,2.3379999999999654,55.10499999999998,-39.719999999999985,24.16199999999999,-71.65950000000001,1.0164761134825622,450.5,912.3899999999999,357.97,-674.48,671.48,-82.14999999999986,-349.8800000000001,-0.8256776060930653,-0.5159432408138898,1.239344333527514,1.0
2021-05-24,15211.349609375,15256.25,15145.4501953125,15197.7001953125,579800,2149.9,1818.9,1052.96,1544.69,331.0,-491.73,0.14761086049898495,156.62199999999999,62.39899999999998,24.190499999999986,-46.80799999999999,0.20499999999999546,-94.56700000000002,1.0030441861912913,374.5498046875,-143.76999999999998,912.3899999999999,357.97,18.24000000000001,671.48,-82.14999999999986,1.806313567497467,-0.8256776060930653,-0.5159432408138898,1.0
